Differentiable motif activity epsilon cells;names;scores;logfoldchanges;pvals;pvals_adj;Motif_ID;direct_TF;TF_name
62;M04832_2.00;12.951841;1.4469353;0.0000000000000000000000000000000000000229;0.00000000000000000000000000000000000028;M04832_2.00;;['Foxa1', 'Foxa2', 'Foxa3', 'Foxb1', 'Foxs1']
63;M04819_2.00;12.945013;1.461483;0.0000000000000000000000000000000000000251;0.000000000000000000000000000000000000305;M04819_2.00;;['Foxa1', 'Foxa2', 'Foxa3', 'Foxb1']
64;M10576_2.00;12.912374;1.216146;0.0000000000000000000000000000000000000383;0.000000000000000000000000000000000000464;M10576_2.00;;['Foxi1']
65;M03034_2.00;12.847772;1.717711;0.0000000000000000000000000000000000000885;0.00000000000000000000000000000000000105;M03034_2.00;;['Foxg1', 'Foxf2', 'Foxf1', 'Foxe3', 'Foxc2', 'Foxi1', 'Foxi2', 'Foxc1', 'Foxl2', 'Foxd4', 'Foxd2', 'Foxi3', 'Foxd3', 'Foxe1', 'Foxs1', 'Foxd1', 'Gm5294', 'Foxl1']
66;M03040_2.00;12.847772;1.717711;0.0000000000000000000000000000000000000885;0.00000000000000000000000000000000000105;M03040_2.00;;['Foxo4']
67;M03054_2.00;12.847772;1.717711;0.0000000000000000000000000000000000000885;0.00000000000000000000000000000000000105;M03054_2.00;Foxg1;['Foxg1', 'Foxj3', 'Foxk2', 'Foxc2', 'Foxi1', 'Foxi2', 'Foxc1', 'Foxl2', 'Foxd4', 'Foxd2', 'Foxi3', 'Foxd3', 'Foxe1', 'Foxs1', 'Foxd1', 'Gm5294', 'Foxl1']
68;M03043_2.00;12.847772;1.717711;0.0000000000000000000000000000000000000885;0.00000000000000000000000000000000000105;M03043_2.00;;['Foxg1', 'Foxj3', 'Foxf2', 'Foxf1', 'Foxe3', 'Foxc2', 'Foxi1', 'Foxi2', 'Foxc1', 'Foxl2', 'Foxd4', 'Foxd2', 'Foxi3', 'Foxd3', 'Foxe1', 'Foxs1', 'Foxd1', 'Gm5294', 'Foxl1']
69;M03045_2.00;12.847772;1.717711;0.0000000000000000000000000000000000000885;0.00000000000000000000000000000000000105;M03045_2.00;;['Foxg1', 'Foxj3', 'Foxf2', 'Foxf1', 'Foxe3', 'Foxc2', 'Foxi1', 'Foxc1', 'Foxl2', 'Foxd4', 'Foxd2', 'Foxi3', 'Foxd3', 'Foxe1', 'Foxs1', 'Foxd1', 'Gm5294', 'Foxl1']
70;M03062_2.00;12.847772;1.717711;0.0000000000000000000000000000000000000885;0.00000000000000000000000000000000000105;M03062_2.00;Foxk1;['Foxj3', 'Foxk2', 'Foxi1', 'Foxk1']
71;M03026_2.00;12.847772;1.717711;0.0000000000000000000000000000000000000885;0.00000000000000000000000000000000000105;M03026_2.00;;['Foxj2', 'Foxg1', 'Foxj3', 'Foxk2', 'Foxc2', 'Foxi1', 'Foxi2', 'Foxc1', 'Foxl2', 'Foxd4', 'Foxd2', 'Foxi3', 'Foxk1', 'Foxd3', 'Foxe1', 'Foxs1', 'Foxd1', 'Gm5294', 'Foxl1']
72;M03050_2.00;12.847772;1.717711;0.0000000000000000000000000000000000000885;0.00000000000000000000000000000000000105;M03050_2.00;;['Foxp4', 'Foxo4', 'Foxo1', 'Foxo3', 'Foxo6']
73;M03044_2.00;12.823647;1.4206755;0.000000000000000000000000000000000000121;0.00000000000000000000000000000000000142;M03044_2.00;;['Foxg1', 'Foxj3', 'Foxf2', 'Foxf1', 'Foxe3', 'Foxc2', 'Foxi1', 'Foxc1', 'Foxl2', 'Foxd4', 'Foxd2', 'Foxi3', 'Foxd3', 'Foxe1', 'Foxs1', 'Foxd1', 'Gm5294', 'Foxl1']
74;M03042_2.00;12.807234;1.335193;0.000000000000000000000000000000000000149;0.00000000000000000000000000000000000175;M03042_2.00;;['Foxg1', 'Foxj3', 'Foxf2', 'Foxf1', 'Foxe3', 'Foxc2', 'Foxi1', 'Foxi2', 'Foxc1', 'Foxl2', 'Foxd4', 'Foxd2', 'Foxi3', 'Foxd3', 'Foxe1', 'Foxs1', 'Foxd1', 'Gm5294', 'Foxl1']
