moscot driver genes epsilon cells;Epsilon_pull_corr;Epsilon_pull_pval;Epsilon_pull_qval;Epsilon_pull_ci_low;Epsilon_pull_ci_high
Gabrb2;-0.0158311015636174;0.254405208169926;0.683943472414756;-0.0430328063521903;0.0113940572040149
Tspoap1;-0.015835051251642;0.254286705873065;0.683943472414756;-0.0430367497139706;0.0113901070383265
Dsel;-0.0158368703957228;0.254232139097801;0.683943472414756;-0.0430385659440299;0.0113882876739579
Aqp11;-0.0158480527785866;0.25389689291951;0.683735999780431;-0.0430497304102872;0.0113771039330126
Ubxn7;-0.0158507037341066;0.253817462790178;0.683735999780431;-0.0430523771174044;0.0113744526545398
Gm44790;-0.0158514433042719;0.253795306260295;0.683735999780431;-0.0430531155022716;0.011373712994208
Caprin1;-0.0158518770093449;0.253782313664268;0.683735999780431;-0.0430535485122381;0.011373279236245
Rps15a;-0.015852490843904;0.253763925681653;0.683735999780431;-0.0430541613629767;0.0113726653268116
Slain1os;-0.0158571899438137;0.253623190507733;0.683639983745905;-0.0430588529307472;0.0113679656530357
Cryzl2;-0.015862202182304;0.253473136905006;0.683510458913661;-0.0430638571338495;0.0113629528011121
Hs1bp3;-0.0158714287889795;0.253197077495356;0.683125463726903;-0.0430730689452886;0.0113537250616411
Gm33195;-0.0158724595770779;0.253166249393713;0.683125463726903;-0.0430740980801894;0.0113526941466999
Arid1b;-0.015873877118023;0.253123858822153;0.683125463726903;-0.0430755133475612;0.0113512764312258
Ldhd;-0.015876631558171;0.253041503346168;0.68307954099208;-0.0430782633695903;0.0113485216516356
Zdhhc7;-0.0158769438472608;0.253032167339137;0.68307954099208;-0.0430785751577427;0.011348209324035
Slc4a2;-0.0158776089011837;0.253012286085871;0.68307954099208;-0.0430792391448469;0.0113475441880811
Smpd4;-0.0158788162167112;0.252976197136967;0.68307954099208;-0.0430804445236476;0.0113463367235761
Sec24b;-0.0158793630191316;0.252959853355934;0.68307954099208;-0.0430809904488836;0.0113457898536565
Cib3;-0.0158829002163803;0.252854145220718;0.68303236782748;-0.0430845219713425;0.0113422522193705
Hook2;-0.0158837349616767;0.252829203582033;0.68303236782748;-0.0430853553773427;0.011341417370838
Mapkap1;-0.0158839594011829;0.252822497769972;0.68303236782748;-0.0430855794567434;0.011341192903568
Samhd1;-0.015884541270971;0.252805113219296;0.68303236782748;-0.0430861603929286;0.0113406109617884
Gm29292;-0.0158861228302167;0.252757865107282;0.68303236782748;-0.0430877394144892;0.0113390292067718
Unc45a;-0.0158881278249482;0.252697975961411;0.68303236782748;-0.0430897411919183;0.0113370239636592
Prss1;-0.0158896170430538;0.252653499449072;0.68303236782748;-0.0430912280202179;0.0113355345609258
Arfgap1;-0.0158902132806063;0.252635693937467;0.68303236782748;-0.0430918233009311;0.0113349382494201
Bend5;-0.0158906702365319;0.252622048401011;0.68303236782748;-0.0430922795235229;0.0113344812368037
Nfic;-0.0158935948761909;0.252534725491068;0.68303236782748;-0.0430951994693814;0.0113315562340392
Eif1ad;-0.0158938301454588;0.252527701814125;0.68303236782748;-0.0430954343610417;0.0113313209355415
