moscot driver TFs Fev+ delta;Fev_delta_pull_corr;Fev_delta_pull_pval;Fev_delta_pull_qval;Fev_delta_pull_ci_low;Fev_delta_pull_ci_high
Terf2;-0.0220955905524842;0.111646819609544;0.364894006145907;-0.0492861962605455;0.00512774228132602
E430018J23Rik;-0.0222100648984693;0.109803019196176;0.359658479362746;-0.049400447957344;0.00501321467427927
Mycn;-0.0222732917718553;0.108795005629789;0.357909495644841;-0.049463551551295;0.00494995807739561
Meox1;-0.0223828291395249;0.107066006808025;0.353393386519111;-0.0495728748297619;0.00484036869959004
Tfdp2;-0.0223982739341818;0.106823977833728;0.353393386519111;-0.0495882893853815;0.00482491651889078
Gpd1;-0.0224725929197965;0.105665410517068;0.351442224406991;-0.0496624626822997;0.0047505618105052
Zfp213;-0.0225671327386826;0.104206043255343;0.348121958662762;-0.0497568167398437;0.00465597611432032
Zfp692;-0.0227049190054882;0.10210781302479;0.342993554510286;-0.0498943314012303;0.00451812211171139
Gm4631;-0.0229125838378542;0.0990091187895185;0.334460334165935;-0.0501015849353123;0.00431035323629484
Abl1;-0.022996477279729;0.0977787685517509;0.331788630366615;-0.0501853115548519;0.00422641709605258
Zeb2;-0.0231952725607976;0.0949120464089888;0.322786464138678;-0.0503837100052721;0.00402751910478267
Zfp612;-0.0233195298444267;0.093154650675143;0.319804140246543;-0.0505077181595268;0.00390319652806661
Pknox1;-0.0233324907973813;0.0929728546110061;0.319804140246543;-0.0505206530781636;0.00389022871609367
Ruvbl1;-0.0234615505065915;0.0911780945756731;0.316503270825899;-0.0506494530510016;0.0037611002081614
Gm4924;-0.0236290282645515;0.0888907041632991;0.3131044434243;-0.0508165924068997;0.00359353181827104
Hnf4g;-0.0237495144302695;0.0872738811379282;0.308875171759284;-0.0509368341788786;0.00347297950495223
Bhlha15;-0.0238004859913191;0.086597065008777;0.307674278031184;-0.0509877021121285;0.00342197972204583
Zkscan16;-0.0239870675953352;0.0841556364978984;0.301125618748404;-0.0511739031829214;0.00323529360386838
Fosl1;-0.0240606006869289;0.0832088821154249;0.298445159131334;-0.0512472857845176;0.00316171880125013
Zfp780b;-0.0241958444505121;0.0814901195647679;0.294378183116745;-0.0513822519969082;0.00302639755225794
2610044O15Rik8;-0.0243246738116487;0.0798797666694487;0.289252872112392;-0.0515108160471447;0.00289749345353803
Zfp354b;-0.0244396438857478;0.0784645742037871;0.284811315018554;-0.0516255485912324;0.00278245591809824
Stau2;-0.0245684466592979;0.0769034087034196;0.281172269109355;-0.0517540844038504;0.00265357671080036
Nmral1;-0.0245781946264828;0.0767862951339315;0.281172269109355;-0.0517638121304102;0.00264382292219682
Map4k2;-0.0246219923113807;0.0762618951819504;0.280866979816451;-0.0518075188103765;0.00259999901770687
Kif22;-0.0246562540523825;0.0758537098973403;0.280733093002411;-0.0518417092880894;0.0025657166929376
Med30;-0.0246666439574736;0.0757302800439521;0.280733093002411;-0.0518520775699278;0.00255532053315549
Zfp61;-0.0246953920931025;0.0753896119422062;0.28038993604121;-0.051880765844997;0.00252655506057117
Ilf3;-0.0247969974588494;0.0741955859222577;0.278003312016399;-0.0519821592843111;0.00242488805933932
Mbd4;-0.024816623037205;0.0739667436706048;0.277835280951774;-0.0520017438634448;0.00240525051093909
Gm29609;-0.0251690169628485;0.0699549365835952;0.269469271023542;-0.0523533980546302;0.00205263807984999
