moscot driver TFs Eps. progenitors;Eps_progenitors_pull_corr;Eps_progenitors_pull_pval;Eps_progenitors_pull_qval;Eps_progenitors_pull_ci_low;Eps_progenitors_pull_ci_high
Zfp94;-0.014655227937798;0.291403196696081;0.567366348814776;-0.0418587784440256;0.0125700352536499
Onecut1;-0.0146847417127406;0.290432446605204;0.566605935883538;-0.0418882468116209;0.0125405197791314
Zbtb6;-0.0147019904542666;0.289866119151306;0.566605935883538;-0.0419054689938085;0.0125232700223561
Tpi1;-0.014802354161275;0.286585629084048;0.562005584307679;-0.0420056778416895;0.0124229000865509
Gm4631;-0.0148745081265008;0.284242747755422;0.558862694154541;-0.0420777201366635;0.0123507413042967
Zfp341;-0.0149237082588389;0.282652641624829;0.556460872038451;-0.0421268439614159;0.0123015377247384
Supt20;-0.0149491325251554;0.281833317602473;0.55557220571767;-0.0421522287440925;0.0122761116253951
Zfp72;-0.0149664782569274;0.281275258005867;0.555196914495241;-0.0421695475179561;0.0122587646228351
Maz;-0.0150533897928149;0.278490369618649;0.552566442911901;-0.0422563237339203;0.0121718464728428
Zfp120;-0.0150577482697008;0.27835120743575;0.552566442911901;-0.042260675413918;0.0121674876534365
Zfp275;-0.0151444815990599;0.275591727741004;0.549001990618622;-0.0423472732711277;0.0120807472927854
Tcf4;-0.0151492030486325;0.275442048997486;0.549001990618622;-0.0423519873343546;0.0120760254486952
Zscan22;-0.0152002280679647;0.273827998747927;0.546931584800755;-0.0424029324516851;0.012024996088319
Adarb1;-0.0152191087921293;0.2732323948561;0.5464647897122;-0.0424217835739557;0.0120061137218981
Zfp763;-0.0152948911554301;0.270850708366647;0.542574687946164;-0.0424974469279939;0.011930324571633
Yod1;-0.0154175486592643;0.267026045838119;0.53761243895408;-0.0426199111482228;0.0118076554198791
Bcl6;-0.0155678137837885;0.262391355220948;0.530402873338195;-0.0427699383709815;0.0116573749088317
Zfp930;-0.0155974380936409;0.261484233968035;0.529277738996962;-0.0427995156344598;0.0116277474204374
Snapc5;-0.0156204970012506;0.260779652321473;0.528560100678423;-0.0428225378892115;0.0116046860056357
Ikzf3;-0.015637252212356;0.26026850888046;0.528233129582655;-0.0428392664492605;0.0115879289545703
Nr4a3;-0.0156458439277609;0.260006674393413;0.528233129582655;-0.0428478444926554;0.011579336289742
Zfp109;-0.0157109564190317;0.258028280865637;0.525806618228222;-0.0429128532399502;0.0115142164725448
Ubtf;-0.015733239126732;0.25735364048582;0.525140536667012;-0.0429351003916273;0.0114919312047384
Tceal5;-0.0157829068078183;0.255854287057981;0.523495898993973;-0.0429846887220172;0.011442257719903
Nmi;-0.0158168059127984;0.254834440934382;0.522116697165424;-0.0430185335917347;0.0114083545766045
Tceal3;-0.0158348490884208;0.254292770433885;0.521714787167347;-0.0430365478745763;0.0113903092260174
Zfp57;-0.0158828574492968;0.252855423119102;0.520179412683711;-0.043084479272875;0.0113422949917422
Zfp444;-0.0158872747668049;0.252723455580075;0.520179412683711;-0.0430888895026561;0.0113378771275071
Ehf;-0.0159715406614466;0.250215191738799;0.516860382387944;-0.0431730199869781;0.0112536005998297
Gm10053;-0.0160195300367238;0.248794529310585;0.514629779806827;-0.0432209320737514;0.0112056049961853
Mef2c;-0.0160376047509365;0.248260915686824;0.51423042892607;-0.0432389776455917;0.011187527903599
Etv6;-0.0161037354876839;0.246315384136672;0.511604167876719;-0.0433050016066165;0.0111213883133295
Zfp628;-0.0161897578408542;0.243800670962385;0.507078530514052;-0.0433908847112069;0.011035354087087
Cd59b;-0.0162098195051173;0.243216804799666;0.507078530514052;-0.0434109138428639;0.0110152895958864
Sox9;-0.0162149583753331;0.243067403476144;0.507078530514052;-0.0434160443762134;0.0110101499980128
Egr1;-0.0162912098985697;0.240858132976982;0.504432428287438;-0.0434921720268741;0.0109338875086223
Zfp874b;-0.0163336049881634;0.239635933805941;0.503103197207116;-0.0435344981079104;0.0108914861849566
Zbtb5;-0.0163392833732123;0.239472565366553;0.503103197207116;-0.0435401672425596;0.010885806957483
