moscot driver genes Alpha;Alpha_pull_corr;Alpha_pull_pval;Alpha_pull_qval;Alpha_pull_ci_low;Alpha_pull_ci_high
Echdc2;-0.097515627728956;0.00000000000189;0.0000000000223;-0.124405654170823;-0.070482467599777
Mnx1;-0.0975688203851245;0.00000000000184;0.0000000000217;-0.124458526277632;-0.0705359042282716
Tgm2;-0.0977268883033835;0.0000000000017;0.0000000000201;-0.124615640746568;-0.0706946980531286
Ypel1;-0.0977395539454911;0.00000000000168;0.0000000000199;-0.124628229932481;-0.0707074219198601
Atp6v1g1;-0.0978089366433015;0.00000000000162;0.0000000000193;-0.124697193647771;-0.0707771237296727
Trir;-0.097956022498133;0.0000000000015;0.0000000000179;-0.124843390433505;-0.0709248869498078
Adrm1;-0.0980534102398617;0.00000000000143;0.000000000017;-0.124940188866855;-0.0710227238380293
Rpl35a;-0.0980705871102735;0.00000000000142;0.0000000000169;-0.124957261744251;-0.0710399799811062
Gtf2a2;-0.0980945552777856;0.0000000000014;0.0000000000167;-0.124981084775948;-0.0710640587907161
Set;-0.0982166443206388;0.00000000000131;0.0000000000157;-0.125102434044873;-0.0711867119111853
Cd151;-0.0984939970801183;0.00000000000113;0.0000000000136;-0.125378103251908;-0.0714653491377265
Ano1;-0.0986079691492546;0.00000000000107;0.0000000000128;-0.125491382298449;-0.0715798502535261
Tpcn1;-0.0986509586851257;0.00000000000104;0.0000000000126;-0.125534110248559;-0.0716230395274402
Lmnb1;-0.098655321839414;0.00000000000104;0.0000000000126;-0.125538446848044;-0.0716274229594874
Cnih4;-0.098732361551293;0.000000000000999;0.0000000000121;-0.125615017515605;-0.0717048208853769
Gins2;-0.098889754931149;0.00000000000092;0.0000000000112;-0.125771451634735;-0.0718629471140336
Pgm2l1;-0.0989042254388576;0.000000000000913;0.0000000000111;-0.125785833882371;-0.0718774850669395
Nacc2;-0.0990281599435753;0.000000000000855;0.0000000000104;-0.125909012009644;-0.0720019976849901
Srsf6;-0.0990498057757364;0.000000000000845;0.0000000000103;-0.125930525651365;-0.0720237445741841
Bcas3;-0.0992278542845687;0.000000000000769;0.00000000000939;-0.126107485864043;-0.0722026253059605
Pkib;-0.0992972715701264;0.000000000000741;0.00000000000905;-0.126176478382838;-0.0722723675284107
Hmgn1;-0.0993846190648735;0.000000000000707;0.00000000000865;-0.126263291025809;-0.0723601242654468
Pfdn5;-0.0995598997471526;0.000000000000644;0.00000000000789;-0.126437497176174;-0.072536227438743
Rtf1;-0.0996722574299313;0.000000000000607;0.00000000000744;-0.126549165195087;-0.0726491132374872
Rab15;-0.0999446046227401;0.000000000000525;0.00000000000644;-0.126819837863989;-0.0729227434197682
Aopep;-0.100021418993658;0.000000000000504;0.00000000000619;-0.126896179218935;-0.072999920387933
Tmeff1;-0.100033089406998;0.000000000000501;0.00000000000616;-0.126907777739061;-0.0730116459190195
Plxnb1;-0.100202240245879;0.000000000000457;0.00000000000563;-0.127075885733337;-0.0731815964726778
Ppdpf;-0.100316721211189;0.00000000000043;0.00000000000531;-0.127189660027394;-0.0732966195738883
Rtraf;-0.100394773124094;0.000000000000412;0.00000000000509;-0.127267229733882;-0.0733750415214409
Rtkn;-0.100544448449323;0.00000000000038;0.0000000000047;-0.127415979442136;-0.0735254273739871
Phf14;-0.100607331140077;0.000000000000368;0.00000000000455;-0.127478472895332;-0.0735886089432295
Zbtb10;-0.100649242646243;0.00000000000036;0.00000000000445;-0.127520124854983;-0.0736307197732757
Pfn1;-0.100749610696953;0.000000000000341;0.00000000000422;-0.127619870968509;-0.0737315655487275
Erh;-0.100768515100043;0.000000000000337;0.00000000000418;-0.127638658168401;-0.0737505599934937
Dyrk2;-0.100796224899344;0.000000000000332;0.00000000000412;-0.127666196138113;-0.0737784018100003
Selenok;-0.100818583773988;0.000000000000328;0.00000000000407;-0.127688416334267;-0.0738008672392549
Asap1;-0.100870204082511;0.000000000000319;0.00000000000397;-0.127739716370417;-0.0738527336569269
mt-Co3;-0.100873627102692;0.000000000000319;0.00000000000396;-0.127743118147774;-0.0738561730021425
E2f1;-0.100876926560826;0.000000000000318;0.00000000000396;-0.127746397129294;-0.0738594881966277
Steap1;-0.100914888879235;0.000000000000312;0.00000000000388;-0.127784123809274;-0.0738976316145148
Atp5g3;-0.100967473840242;0.000000000000303;0.00000000000378;-0.127836382238226;-0.0739504675629919
Tubb5;-0.101042590076068;0.000000000000291;0.00000000000363;-0.127911031772811;-0.0740259425909059
AC109619.1;-0.10107220708291;0.000000000000286;0.00000000000358;-0.127940464683906;-0.0740557011482107
Clasp1;-0.101077096976485;0.000000000000285;0.00000000000357;-0.12794532417794;-0.0740606144169957
Rbbp4;-0.101142766792097;0.000000000000276;0.00000000000345;-0.128010585611758;-0.074126598281806
Osbpl8;-0.101147453557281;0.000000000000275;0.00000000000344;-0.128015243222394;-0.0741313074692961
Nhlh1;-0.101161693097084;0.000000000000273;0.00000000000342;-0.128029394176276;-0.0741456151409462
Syce2;-0.101302594091624;0.000000000000253;0.00000000000317;-0.128169418018784;-0.0742871909032112
Rell1;-0.10131087431548;0.000000000000252;0.00000000000316;-0.128177646662378;-0.0742955108145186
Gprc5b;-0.101423717410905;0.000000000000237;0.00000000000297;-0.128289786451991;-0.0744088951463686
Zfp451;-0.101601418927636;0.000000000000215;0.00000000000271;-0.128466379033576;-0.0745874504000888
Gpr153;-0.101603691022615;0.000000000000215;0.00000000000271;-0.128468636938659;-0.074589733422181
Cd40;-0.101633649952099;0.000000000000211;0.00000000000267;-0.12849840873983;-0.0746198364586572
C530008M17Rik;-0.10177816956531;0.000000000000195;0.00000000000247;-0.12864202497999;-0.0747650519247059
Pla2g2d;-0.101976198242006;0.000000000000175;0.00000000000222;-0.128838813975687;-0.0749640359575362
Dnajc9;-0.102108695862107;0.000000000000163;0.00000000000207;-0.128970480964975;-0.0750971739913517
Cox7a2;-0.102318703729984;0.000000000000145;0.00000000000185;-0.129179170348163;-0.0753081988836899
Elovl1;-0.102438274172649;0.000000000000136;0.00000000000173;-0.129297989033114;-0.07542834946206
Col9a1;-0.102454014549076;0.000000000000135;0.00000000000172;-0.12931363038993;-0.0754441662665689
Paip1;-0.102625737877776;0.000000000000123;0.00000000000157;-0.129484272572623;-0.0756167242883464
Arhgef10l;-0.102712694239366;0.000000000000117;0.0000000000015;-0.129570680862413;-0.0757041039344431
Pde5a;-0.102722666680243;0.000000000000116;0.00000000000149;-0.129580590422544;-0.0757141249454894
Mad2l2;-0.103006321500165;0.0000000000000996;0.00000000000128;-0.129862454424123;-0.0759991635736391
Gjc1;-0.103111150343824;0.000000000000094;0.00000000000121;-0.129966620345872;-0.0761045049412112
Snrpb2;-0.103167882980497;0.0000000000000911;0.00000000000117;-0.130022993966623;-0.0761615152036614
Eif3k;-0.103181193329599;0.0000000000000905;0.00000000000117;-0.130036220059921;-0.0761748907136131
Kdm5b;-0.103194030202908;0.0000000000000898;0.00000000000116;-0.130048975665522;-0.0761877904390775
Snrnp27;-0.103288168350096;0.0000000000000853;0.0000000000011;-0.130142517571079;-0.07628238978358
Mbp;-0.103316140459062;0.000000000000084;0.00000000000109;-0.130170312421314;-0.0763104990259209
Clcn2;-0.103472002126231;0.000000000000077;0.000000000000997;-0.130325185623198;-0.0764671255914964
Psmc4;-0.10352369341554;0.0000000000000749;0.00000000000097;-0.130376548800101;-0.0765190708525205
Abcf1;-0.103615519900301;0.0000000000000711;0.000000000000923;-0.130467792057341;-0.0766113488643576
Psme4;-0.10366494384848;0.0000000000000692;0.000000000000898;-0.130516901905543;-0.0766610160303407
Tsg101;-0.103800037140233;0.0000000000000642;0.000000000000835;-0.130651135977633;-0.0767967748069556
Arhgap42;-0.103828231173711;0.0000000000000632;0.000000000000823;-0.130679150567398;-0.0768251078537269
Cldnd1;-0.103941852587301;0.0000000000000594;0.000000000000774;-0.130792048391679;-0.0769392899302362
Eef1g;-0.104001795995808;0.0000000000000574;0.00000000000075;-0.130851609774557;-0.076999529413873
Psmb7;-0.104175431922529;0.0000000000000521;0.000000000000684;-0.131024138007451;-0.0771740240834293
Plut;-0.104226248744712;0.0000000000000507;0.000000000000665;-0.131074630340946;-0.0772250925408175
Sema4c;-0.104232979418781;0.0000000000000505;0.000000000000663;-0.131081318026131;-0.0772318565545258
Gng12;-0.104307004176936;0.0000000000000484;0.000000000000636;-0.131154869826182;-0.0773062481500099
Mospd1;-0.104363038751453;0.0000000000000469;0.000000000000618;-0.131210546188711;-0.0773625606095713
Mical2;-0.104704610417246;0.0000000000000388;0.000000000000513;-0.131549930628024;-0.0777058299134718
5033421B08Rik;-0.104779100505983;0.0000000000000372;0.000000000000492;-0.131623942889678;-0.0777806910740636
