moscot driver genes delta cells;Delta_pull_corr;Delta_pull_pval;Delta_pull_qval;Delta_pull_ci_low;Delta_pull_ci_high
Gk;0.097799913114088;1.63E-12;1.23E-10;0.0707680586835869;0.124688224623799
Tshz1;0.0976106110627579;1.80E-12;1.35E-10;0.0705778866909877;0.124500065009349
Prkca;0.0971839744874464;2.25E-12;1.67E-10;0.0701492967038944;0.124075996092452
Olfml3;0.097151613709362;2.29E-12;1.69E-10;0.0701167881649676;0.124043829672806
Gng4;0.0970821560752046;2.37E-12;1.74E-10;0.070047013577864;0.123974789009508
Atp2b1;0.0970787960317591;2.38E-12;1.74E-10;0.0700436382083892;0.123971449130608
Capsl;0.0969454816139433;2.55E-12;1.85E-10;0.0699097162084996;0.123838934277598
Cbarp;0.0965101958440856;3.19E-12;2.31E-10;0.0694724534041134;0.123406252492814
Hmgn3;0.0960856034614884;3.97E-12;2.85E-10;0.0690459425648987;0.122984190272026
Dlg4;0.0958905338863868;4.39E-12;3.14E-10;0.0688499949111783;0.122790279861596
Ptprm;0.0956825435754165;4.88E-12;3.48E-10;0.0686410706588902;0.122583523231878
Tmcc3;0.095409194495321;5.61E-12;3.97E-10;0.0683664977631518;0.122311791953398
Gm45623;0.0951326898189891;6.47E-12;4.54E-10;0.0680887593110151;0.122036919651536
A730043L09Rik;0.0947921334698843;7.69E-12;5.35E-10;0.0677466891453367;0.121698368140927
Tmem181a;0.0946637887386539;8.20E-12;5.69E-10;0.0676177755550178;0.121570777344512
Pak6;0.0945752869726994;8.58E-12;5.93E-10;0.0675288820509982;0.12148279494605
Syt2;0.0945518685097447;8.68E-12;5.98E-10;0.0675053600020318;0.121459513842247
Elmo1;0.0945281219872333;8.79E-12;6.03E-10;0.0674815084731159;0.121435906572864
Emb;0.094449155551896;9.15E-12;6.25E-10;0.0674021930729169;0.121357402989488
E130008D07Rik;0.0943578408846584;9.58E-12;6.50E-10;0.0673104752982929;0.121266623132149
Csrnp3;0.0942421415016522;1.02E-11;6.87E-10;0.0671942658184214;0.121151600728464
Tjp1;0.0941377636215624;1.07E-11;7.22E-10;0.0670894283854998;0.121047832963373
Gm43140;0.0937631773512421;1.29E-11;8.63E-10;0.0667131978120105;0.120675431401379
Shisa6;0.092860405879073;2.03E-11;1.33E-09;0.0658064950947701;0.11977789405692
Dbpht2;0.0924276805646933;2.51E-11;1.64E-09;0.0653719012563015;0.119347662015973
Sptan1;0.0923840493099281;2.57E-11;1.67E-09;0.0653280821697686;0.119304281594365
Plpp3;0.092314136673103;2.66E-11;1.71E-09;0.0652578687778538;0.119234770666301
Ffar4;0.0921210031519163;2.93E-11;1.88E-09;0.0650639058136367;0.119042745493288
Ctnna3;0.0920181845970113;3.08E-11;1.96E-09;0.0649606465218194;0.118940516168573
Unc79;0.0919177471751594;3.23E-11;2.04E-09;0.0648597791293716;0.118840653780045
Dpp4;0.091896114353313;3.27E-11;2.06E-09;0.0648380537702171;0.118819144741077
Fam161a;0.0918401644274475;3.36E-11;2.11E-09;0.0647818646299695;0.118763514843168
Ccdc81;0.091475905093787;4.02E-11;2.50E-09;0.0644160520971723;0.118401334903957
Gm17034;0.0914739318418348;4.02E-11;2.50E-09;0.0644140704510927;0.118399372896912
H1f8;0.0914707143992759;4.03E-11;2.50E-09;0.0644108393221316;0.118396173789038
Fcgr1;0.0914339271979408;4.10E-11;2.54E-09;0.0643738956752139;0.118359596180849
Erp29;0.0913868065776447;4.20E-11;2.58E-09;0.0643265747725718;0.118312743921065
Ankrd34a;0.0913767981562015;4.22E-11;2.58E-09;0.0643165238268199;0.118302792483968
Zdhhc2;0.0913586811978791;4.25E-11;2.59E-09;0.0642983299061737;0.118284778663322
Chrna10;0.0912356639599411;4.52E-11;2.74E-09;0.0641747905567115;0.118162461279063
Pld1;0.0911985660922872;4.60E-11;2.79E-09;0.0641375354005328;0.118125574303407
Smpd3;0.091032799886697;4.99E-11;3.00E-09;0.0639710672965074;0.117960749528873
Lgals3bp;0.0907633254731511;5.69E-11;3.41E-09;0.0637004550702639;0.117692802366705
Scn3b;0.0907370912875628;5.76E-11;3.45E-09;0.0636741103275971;0.117666716654412
Necab2;0.0906645006859984;5.97E-11;3.56E-09;0.0636012140086045;0.117594536688221
Cirbp;0.0905960664083001;6.17E-11;3.67E-09;0.0635324917824163;0.117526489273552
Hlf;0.0904170042469144;6.73E-11;3.95E-09;0.0633526774018982;0.11734843816462
Pde3a;0.0902061163484294;7.45E-11;4.37E-09;0.0631409058415073;0.11713873879831
Stim1;0.0901553157770741;7.64E-11;4.46E-09;0.0630898927700085;0.117088224172317
Peg3;0.0901252593987417;7.75E-11;4.51E-09;0.0630597107316372;0.11705833690918
Map3k13;0.0901047736383675;7.82E-11;4.55E-09;0.0630391393525407;0.117037966386012
Cltrn;0.0897007040730217;9.51E-11;5.48E-09;0.0626333857089162;0.116636165174687
Gm47134;0.0895455549331892;1.02E-10;5.85E-09;0.0624775923169244;0.116481884663879
Ghsr;0.089498275565503;1.05E-10;5.95E-09;0.0624301168853163;0.116434869739399
Nfkb1;0.0893802784063443;1.11E-10;6.28E-09;0.0623116309353178;0.116317532035965
Srgap3;0.0893443863135468;1.13E-10;6.35E-09;0.0622755903146348;0.116281840385682
Gm49948;0.0891895921471594;1.21E-10;6.82E-09;0.0621201563911125;0.116127909883742
Prr16;0.0888584683267025;1.42E-10;7.94E-09;0.0617876684596865;0.11579862920333
Pak3;0.0885609196753607;1.64E-10;9.05E-09;0.0614888991401575;0.115502731750693
Fosl1;0.0882896027284858;1.86E-10;1.03E-08;0.0612164733670946;0.115232916265948
Sfxn2;0.0880715120710503;2.07E-10;1.13E-08;0.0609974943345014;0.115016029635134
Diras2;0.0879685689439252;2.17E-10;1.18E-08;0.0608941327820493;0.11491365394004
Filip1;0.0879514557243259;2.19E-10;1.19E-08;0.0608769500598975;0.114896634994604
Dock5;0.087798959830662;2.35E-10;1.27E-08;0.0607238355376094;0.114744978479484
Igsf9b;0.0877585103047464;2.39E-10;1.29E-08;0.0606832221343057;0.114704751387903
Iapp;0.0876566247860956;2.51E-10;1.35E-08;0.0605809242335062;0.114603425752106
Slc12a4;0.0875843431335459;2.60E-10;1.39E-08;0.0605083503654921;0.114531540962809
Bmp6;0.0875205895391356;2.68E-10;1.43E-08;0.0604443392698789;0.11446813717403
Zim1;0.08733247113575;2.92E-10;1.55E-08;0.0602554623530164;0.114281049666183
Nr1d2;0.087288014496439;2.98E-10;1.58E-08;0.0602108267430433;0.114236836371598
Tenm4;0.0871911587174797;3.12E-10;1.65E-08;0.0601135814233072;0.114140510387742
Mkrn2os;0.0868900698125106;3.59E-10;1.89E-08;0.0598112848620125;0.113841065184461
Nav2;0.0868496295420519;3.66E-10;1.92E-08;0.0597706827654988;0.113800845312123
Neurl1a;0.0865845223786375;4.14E-10;2.17E-08;0.0595045169664668;0.113537180786135
Sh3bgrl2;0.0863050788695506;4.72E-10;2.46E-08;0.0592239617418127;0.11325925381883
Trpc1;0.0862949395361023;4.74E-10;2.47E-08;0.0592137821512865;0.113249169432308
Ppp1r42;0.0861660423189739;5.03E-10;2.61E-08;0.0590843736532353;0.113120970249035
Erc2;0.085909987037623;5.66E-10;2.92E-08;0.0588273054085577;0.112866298954814
Hs6st3;0.0858688279350775;5.77E-10;2.97E-08;0.0587859838143027;0.112825361988143
4930538E20Rik;0.0857300329883402;6.15E-10;3.15E-08;0.0586466416041983;0.112687315443769
Dipk2a;0.0856386142755719;6.41E-10;3.28E-08;0.0585548630072854;0.112596389105422
Gm36670;0.0855409698557655;6.71E-10;3.42E-08;0.0584568347005268;0.112499270092589
Cpm;0.0850275585972553;8.48E-10;4.29E-08;0.0579414135696891;0.111988612933211
Sema6a;0.0848752182724133;9.09E-10;4.58E-08;0.05778847964979;0.111837087070125
