INDIVIDUAL/CLOTH (PAÑO);SAMPLE #;DIAMAX (mm);DIAMAXPER (mm);DIAMINPER (mm);MAX THICKNESS (mm);WEIGHT (g);notes
343 (UE 344  INV 1);9;5.1;2;1.9;0.9;0.046;
PAÑO (UE 374  INV: 1);9;4.9;1.5;1.5;1.2;0.0461;
110 (UE 361  INV 15);92;4.5;2.3;1.9;2;0.0461;
103 (UE 163  INV 16);21;6;3;2;1.3;0.0461;
110 (UE 361  INV 15);14;5;3.8;2.7;2;0.0461;
356 (UE 357);98;3.5;1.8;1.5;1.5;0.0463;
105 (UE 105  INV: 3);20;6;1.8;1.8;1;0.0463;
PAÑO (UE 339  INV: 2);52;4.7;2.1;2;2;0.0463;
PAÑO (UE 175  INV: 23) ;98;4.5;2.3;2;1.5;0.0464;
PAÑO (UE 374  INV: 1);41;4.1;1.5;1.5;1.8;0.0465;
PAÑO (UE 175  INV: 23) ;33;5;2.1;2;1.5;0.0465;
110 (UE 361  INV 15);80;4.1;2.2;2;1.1;0.0466;
114 (UE 167  INV 6);88;5.2;2.9;2;1.2;0.0467;
343 (UE 344  INV 1);74;5;2.2;2;1;0.0468;
356 (UE 357);84;5.2;2.7;2;1.2;0.0468;
104 (UE 104  INV: 3);11;5.1;3;2.5;1.1;0.0468;
356 (UE 357);10;4.8;2.4;2;1.1;0.0469;
111 (UE 355 INV 1);87;4.6;2.5;2.2;2;0.0469;
PAÑO (UE 175  INV: 23) ;75;5;2.9;2.3;1.5;0.0469;
114 (UE 167  INV 6);12;4.1;2;1.8;2;0.047;
PAÑO (UE 175  INV: 23) ;28;5;2.8;2.6;1.9;0.047;
356 (UE 357);5;5.1;2;2;1.1;0.0471;
PAÑO (UE 339  INV: 2);100;4.1;2.5;2;1.7;0.0471;
110 (UE 361  INV 15);9;5.1;2.2;2.2;1;0.0472;
114 (UE 167  INV 6);41;5.2;2;1.1;1.2;0.0475;
111 (UE 355 INV 1);98;5;2.5;2.2;1.8;0.0475;
104 (UE 104  INV: 3);42;5.8;2.7;1.9;1.1;0.0475;
PAÑO (UE 175  INV: 23) ;3;4.5;3;2.8;1.9;0.0476;
PAÑO (UE 374  INV: 1);73;4.8;1.5;1.5;1.8;0.0477;
110 (UE 361  INV 15);63;5.1;2.8;2.2;1.1;0.0477;
111 (UE 355 INV 1);35;5.2;3;2;2;0.0477;
PAÑO (UE 175  INV: 24) ;37;6;2.4;2.2;1.5;0.0478;
PAÑO (UE 339  INV: 2);82;4.8;2.6;2.4;1.9;0.0478;
343 (UE 344  INV 1);47;5.1;3.6;3.3;2;0.0478;
105 (UE 105  INV: 3);100;5.1;1.5;1.2;1;0.0479;
103 (UE 163  INV 16);42;6;3;2.2;1.5;0.0479;
111 (UE 355 INV 1);8;5;1.8;1.2;1;0.0481;
PAÑO (UE 175  INV: 24) ;95;4.9;2.1;2.1;1.8;0.0481;
PAÑO (UE 339  INV: 2);19;4.8;2.4;2;1.7;0.0481;
PAÑO (UE 374  INV: 1);35;4.4;2;1.8;1.2;0.0482;
110 (UE 361  INV 15);33;5;3.3;2.7;2;0.0482;
PAÑO (UE 374  INV: 1);83;5;1.8;1.6;1.1;0.0483;
111 (UE 355 INV 1);62;5;2.2;2.1;1;0.0483;
PAÑO (UE 374  INV: 1);29;5;2.4;2.2;1.5;0.0483;
104 (UE 104  INV: 3);53;5.9;2;2;1.1;0.0484;
